      price  quantity  type               timestamp
3  91592000    0.0003     0 2024-04-28 18:45:42.371
4  91590000    0.0004     0 2024-04-28 18:45:42.371
      price  quantity  type               timestamp
0  91601000    0.0062     1 2024-04-28 18:45:42.371
1  91603000    0.0949     1 2024-04-28 18:45:42.371
2  91631000    0.1070     1 2024-04-28 18:45:42.371
3  91632000    0.0627     1 2024-04-28 18:45:42.371
4  91638000    0.0226     1 2024-04-28 18:45:42.371
      price  quantity  type               timestamp
0  91598000    0.0010     0 2024-04-28 18:45:47.376
1  91597000    0.0010     0 2024-04-28 18:45:47.376
2  91596000    0.3891     0 2024-04-28 18:45:47.376
3  91595000    0.0007     0 2024-04-28 18:45:47.376
4  91594000    0.0000     0 2024-04-28 18:45:47.376
      price  quantity  type               timestamp
0  91601000    0.2043     1 2024-04-28 18:45:47.376
1  91603000    0.0949     1 2024-04-28 18:45:47.376
2  91622000    0.1090     1 2024-04-28 18:45:47.376
3  91632000    0.0627     1 2024-04-28 18:45:47.376
4  91638000    0.0226     1 2024-04-28 18:45:47.376
      price  quantity  type               timestamp
0  91596000    0.2315     0 2024-04-28 18:45:52.340
1  91595000    0.0007     0 2024-04-28 18:45:52.340
2  91594000    0.0000     0 2024-04-28 18:45:52.340
3  91592000    0.0003     0 2024-04-28 18:45:52.340
4  91590000    0.0005     0 2024-04-28 18:45:52.340
      price  quantity  type               timestamp
0  91600000    0.2043     1 2024-04-28 18:45:52.340
1  91603000    0.0949     1 2024-04-28 18:45:52.340
2  91628000    0.3140     1 2024-04-28 18:45:52.340
3  91632000    0.0627     1 2024-04-28 18:45:52.340
4  91638000    0.0226     1 2024-04-28 18:45:52.340
      price  quantity  type               timestamp
0  91588000    0.5263     0 2024-04-28 18:45:57.303
1  91580000    0.0097     0 2024-04-28 18:45:57.303
2  91576000    0.0000     0 2024-04-28 18:45:57.303
3  91570000    0.0008     0 2024-04-28 18:45:57.303
4  91569000    0.0012     0 2024-04-28 18:45:57.303
      price  quantity  type               timestamp
0  91596000    0.9811     1 2024-04-28 18:45:57.303
1  91603000    0.0949     1 2024-04-28 18:45:57.303
2  91628000    0.3140     1 2024-04-28 18:45:57.303
3  91635000    0.1091     1 2024-04-28 18:45:57.303
4  91638000    0.0226     1 2024-04-28 18:45:57.303
      price  quantity  type               timestamp
0  91588000    0.4191     0 2024-04-28 18:46:02.269
1  91580000    0.0097     0 2024-04-28 18:46:02.269
2  91576000    0.0000     0 2024-04-28 18:46:02.269
3  91570000    0.0008     0 2024-04-28 18:46:02.269
4  91569000    0.0012     0 2024-04-28 18:46:02.269
      price  quantity  type               timestamp
0  91595000    0.2043     1 2024-04-28 18:46:02.269
1  91596000    0.7768     1 2024-04-28 18:46:02.269
2  91603000    0.0949     1 2024-04-28 18:46:02.269
3  91631000    0.1091     1 2024-04-28 18:46:02.269
4  91638000    0.0226     1 2024-04-28 18:46:02.269
      price  quantity  type               timestamp
0  91588000    0.3566     0 2024-04-28 18:46:07.224
1  91580000    0.0097     0 2024-04-28 18:46:07.224
2  91576000    0.0000     0 2024-04-28 18:46:07.224
3  91570000    0.0008     0 2024-04-28 18:46:07.224
4  91569000    0.0012     0 2024-04-28 18:46:07.224
      price  quantity  type               timestamp
0  91593000    0.0020     1 2024-04-28 18:46:07.224
1  91594000    0.2043     1 2024-04-28 18:46:07.224
2  91596000    0.7768     1 2024-04-28 18:46:07.224
3  91603000    0.0949     1 2024-04-28 18:46:07.224
4  91622000    0.1091     1 2024-04-28 18:46:07.224
      price  quantity  type               timestamp
0  91588000    0.0977     0 2024-04-28 18:46:12.181
1  91580000    0.0097     0 2024-04-28 18:46:12.181
